联赛,赛季,轮次,比赛时间,主队,完场比分,客队,半场比分,bet365亚盘初盘,bet365大小球初盘,bet365胜平负初盘,主队近30场比赛积分,客队近30场比赛积分,主队近3场比赛积分,客队近3场比赛积分,主客队近3场强弱
"巴西甲组联赛","2023","R_4","2023-05-09 07:00","科林蒂安","1-1","福塔雷萨","0-0","","","",3,7,3,7,-4
"瑞典超级联赛","2023","R_7","2023-05-10 01:00","哈马比","0-0","米亚尔比","0-0","","","",6,8,3,1,2
"瑞典超级联赛","2023","R_7","2023-05-10 01:00","韦纳穆","3-1","瓦尔贝里","2-1","","","",6,4,3,1,2
"巴西甲组联赛","2023","R_5","2023-05-11 06:00","布拉干蒂诺RB","2-2","米内罗美洲","2-1","","","",5,0,2,0,2
"巴西甲组联赛","2023","R_5","2023-05-11 06:00","巴西国际","0-2","巴拉纳竞技","0-0","","","",7,6,6,3,3
"巴西甲组联赛","2023","R_5","2023-05-11 06:00","桑托斯","3-0","巴伊亚","2-0","","","",4,6,4,6,-2
"巴西甲组联赛","2023","R_5","2023-05-11 07:00","库亚巴","0-4","米内罗竞技","0-1","","","",4,4,4,4,0
"巴西甲组联赛","2023","R_5","2023-05-11 07:00","弗拉门戈","2-0","戈伊亚斯","1-0","","","",3,3,0,3,-3
"巴西甲组联赛","2023","R_5","2023-05-11 08:30","克鲁塞罗","0-2","弗鲁米嫩塞","0-1","","","",9,7,9,4,5
"巴西甲组联赛","2023","R_5","2023-05-11 08:30","帕尔梅拉斯","4-1","格雷米奥","1-1","","","",10,7,7,4,3
"巴西甲组联赛","2023","R_5","2023-05-12 06:00","科里蒂巴","1-1","瓦斯科达伽马","1-0","","","",1,5,1,2,-1
"巴西甲组联赛","2023","R_5","2023-05-12 06:30","博塔弗戈","3-0","科林蒂安","1-0","","","",12,4,9,1,8
"巴西甲组联赛","2023","R_5","2023-05-12 07:00","福塔雷萨","0-0","圣保罗","0-0","","","",8,7,7,7,0
"挪威超级联赛","2023","R_6","2023-05-13 01:00","奥德格伦兰","0-1","利勒斯特罗姆","0-0","","","",9,9,4,6,-2
"瑞典超级联赛","2023","R_8","2023-05-13 21:00","赫根","6-1","代格福什","4-1","","","",15,6,6,3,3
"挪威超级联赛","2023","R_6","2023-05-13 23:00","桑德菲杰","1-2","维京","1-1","","","",6,8,5,5,0
"挪威超级联赛","2023","R_6","2023-05-13 23:00","莫尔德","3-2","斯托姆加斯特","1-0","","","",7,4,6,1,5
"挪威超级联赛","2023","R_6","2023-05-13 23:00","斯塔贝克","1-0","奥勒松","0-0","","","",8,1,7,1,6
"挪威超级联赛","2023","R_6","2023-05-13 23:00","汉坎","1-2","特罗姆瑟","0-1","","","",6,8,3,4,-1
"挪威超级联赛","2023","R_6","2023-05-13 23:00","萨普斯堡","2-1","布兰","2-0","","","",6,11,3,5,-2
"挪威超级联赛","2023","R_6","2023-05-13 23:00","博德闪耀","3-2","罗森博格","2-1","","","",16,6,7,1,6
"瑞典超级联赛","2023","R_8","2023-05-13 23:30","瓦尔贝里","1-3","北雪平","1-0","","","",4,14,1,7,-6
"挪威超级联赛","2023","R_6","2023-05-14 01:15","海于格松","1-1","瓦勒伦加","0-0","","","",5,6,2,3,-1
"巴西甲组联赛","2023","R_6","2023-05-14 03:00","巴伊亚","2-3","弗拉门戈","1-3","","","",6,6,6,3,3
"巴西甲组联赛","2023","R_6","2023-05-14 05:30","弗鲁米嫩塞","2-0","库亚巴","1-0","","","",10,4,4,3,1
"巴西甲组联赛","2023","R_6","2023-05-14 05:30","帕尔梅拉斯","1-1","布拉干蒂诺RB","0-0","","","",13,6,9,2,7
"巴西甲组联赛","2023","R_6","2023-05-14 08:00","米内罗竞技","2-0","巴西国际","1-0","","","",7,7,6,3,3
